original,connected,weight
1,2,0.1977069926668662
2,3,0.19770747056182017
1,4,6.648845358813596
2,5,0.19770747056182017
3,6,9.88621575099023
4,5,6.6462171713477876
5,6,20.14841696018688
4,7,9.950663667801143
7,8,0.1977105815347722
5,8,0.19770770958083833
8,9,0.19770794864756963
6,9,9.830020583756541
